variable,info_value
int_rate,0.5696676525555042
sub_grade,0.49659298873196034
grade,0.45567883101395884
dti,0.43919161622763214
revol_bal,0.3800006047381659
annual_inc,0.3164659888551641
loan_amnt,0.19671295033455027
term,0.1839503589372604
revol_util,0.15178088758077993
fico_range_high,0.13142141243089242
fico_range_low,0.13142141243089242
verification_status,0.05428677286254392
inq_last_6mths,0.027651885894537934
home_ownership,0.02444559499774967
purpose,0.015072621526740385
emp_length,0.013164919914952396
open_acc,0.01085850466600121
pub_rec,0.007392808330992838
delinq_2yrs,0.0036991200429050595
